run,fold,accuracy,precision_macro,recall_macro,f1_macro
1,1,0.7511520737327189,0.7225750459464979,0.7309362883234104,0.7260670351591721
1,2,0.7373271889400922,0.7040871305418719,0.6966279636417569,0.6998633058417205
1,3,0.7511520737327189,0.7211651053864169,0.7241032269000148,0.7225560349363358
1,4,0.7184615384615385,0.686071839765997,0.6904837750594631,0.6880335491789735
1,5,0.7646153846153846,0.7374515993910973,0.7467932381923208,0.7413355874894336
2,1,0.7465437788018433,0.7159590964335107,0.7183613365256266,0.7171063547370168
2,2,0.7403993855606759,0.7114494048828046,0.7205754603046803,0.7150984682713348
2,3,0.7788018433179723,0.7517215077229484,0.7517215077229484,0.7517215077229484
2,4,0.74,0.7102489682074083,0.7169130139313626,0.7131097234518764
2,5,0.7553846153846154,0.7261437908496732,0.7296232585796806,0.7277762998121959
3,1,0.7726574500768049,0.744912744912745,0.7471025700786067,0.7459713140687618
3,2,0.7235023041474654,0.6926638758423525,0.699901476788779,0.6956300390657468
3,3,0.7342549923195084,0.7031550735735425,0.7079846176663771,0.7053181051061659
3,4,0.7538461538461538,0.7245366505259643,0.7284658511722732,0.7263618758945862
3,5,0.7353846153846154,0.7034355179704017,0.7043514271151886,0.7038849865980146
mean,,0.7468988932214738,0.7170384901302155,0.7209296674668326,0.7186556124889522
std,,0.016864457235682036,0.018440010427868022,0.018840755057679192,0.018573228803770755
